Year,Population,Birth rate,Death rate,Life Expectancy,Immigration,Emigration
1950,4029803,98065,40681,65.326,1634,17211
1951,4064727,93063,40386,65.684,2432,20185
1952,4116228,94314,39024,66.042,3787,7576
1953,4162609,90866,39925,66.4,4037,8597
1954,4211191,89845,37988,66.758,3045,6320
1955,4258571,89740,39573,67.116,2900,5687
1956,4304832,88896,38713,67.474,3457,7379
1957,4343190,86985,40741,67.832,2901,10787
1958,4376314,81148,38833,68.19,2834,12025
1959,4413046,83253,38827,68.366,2893,10587
1960,4446222,82129,39797,68.542,3396,12552
1961,4475787,81996,40616,68.718,6521,18336
1962,4507098,81454,42889,68.894,6026,13280
1963,4539519,82251,42010,69.07,5127,12947
1964,4557567,80428,42512,69.2,8214,28082
1965,4569896,77885,44473,69.33,8311,29394
1966,4591842,77697,43548,69.46,8351,20554
1967,4619645,77289,43790,69.59,7202,12898
1968,4633292,73654,45013,69.72,9872,24866
1969,4614277,67450,45966,69.964,13608,54107
1970,4598336,64559,44119,70.208,16824,53205
1971,4625912,61067,45876,70.452,18338,17665
1972,4653401,58864,43958,70.696,17421,11951
1973,4678761,56787,43410,70.94,16491,10309
1974,4702387,62472,44676,71.296,13311,12027
1975,4720492,65719,43828,71.652,8307,12237
1976,4730836,66846,44786,72.008,7387,17346
1977,4746967,65659,44065,72.364,7580,18209
1978,4758088,63983,43692,72.72,7184,16327
1979,4771292,63428,43738,73.042,10122,16661
1980,4787778,63064,44398,73.364,13626,14824
1981,4812150,63469,44404,73.686,15771,10042
1982,4841715,66106,43408,74.008,14661,7403
1983,4869858,66892,45388,74.33,13629,6822
1984,4893748,65076,45098,74.422,11686,7467
1985,4910664,62796,48198,74.514,10465,7739
1986,4925644,60632,47135,74.606,9927,8269
1987,4938602,59827,47949,74.698,9142,8475
1988,4954359,63316,49063,74.79,9720,8447
1989,4974383,63348,49110,75,11219,7374
1990,4998478,65549,50058,75.21,13558,6477
1991,5029002,65395,49294,75.42,19001,5984
1992,5054982,66731,49844,75.63,14554,6055
1993,5077912,64826,50988,75.84,14795,6405
1994,5098754,65231,48000,76.1,11611,8672
1995,5116826,63067,49280,76.36,12222,8957
1996,5132320,60723,49167,76.62,13294,10587
1997,5147349,59329,49108,76.88,13564,9854
1998,5159646,57108,49262,77.14,14192,10817
1999,5171302,57574,49345,77.392,14744,11966
2000,5181115,56742,49339,77.644,16895,14311
2001,5194901,56189,48550,77.896,18955,13153
2002,5206295,55555,49418,78.148,18112,12891
2003,5219732,56630,48996,78.4,17838,12083
2004,5236611,57758,47600,78.628,20333,13656
2005,5255580,57745,47928,78.856,21355,12369
2006,5276955,58840,48065,79.084,22451,12107
2007,5300484,58729,49077,79.312,26029,12443
2008,5326314,59530,49094,79.54,29114,13657
2009,5351427,60430,49883,79.772,26699,12151
2010,5375276,60980,50887,80.004,25636,11905
2011,5401267,59961,50585,80.236,29481,12660
2012,5426674,59493,51707,80.468,31278,13845
2013,5451270,58134,51472,80.7,31941,13893
2014,5471753,57232,52186,80.888,31507,15486
2015,5487308,55472,52492,81.076,28746,16305
2016,5503297,52814,53923,81.264,34905,18082
2017,5513130,50321,53722,81.452,31797,16973
2018,5517919,47577,54527,81.64,31106,19141
2019,5525292,45613,53949,81.808,32758,17263
2020,5533793,46463,55488,81.976,32898,15084
2021,5548241,49594,57659,82.144,36364,13459
2022,5563970,44951,63219,82.312,49998,15635
